Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Aruba,ABW,"Population, total",SP.POP.TOTL,89101,90691,91781,92701,93540,94483,95606,96787,97996,99212,100341,101288,102112,102880,103594,104257,104874,105439,105962,106442,106585,106537,106445,106277
Aruba,ABW,Population growth (annual %),SP.POP.GROW,2.53923444445246,1.76875662143885,1.19471805545637,0.997395547284924,0.900989229759957,1.00307718391638,1.18156554573069,1.22771081489399,1.24139737678817,1.23323132057229,1.13154104048985,0.939355909629835,0.810230587788097,0.749301039347625,0.691615260101675,0.63795916173479,0.590062487333077,0.537295706145068,0.494795263046989,0.451969658863314,0.134255302359952,-0.0450446230906329,-0.0863922826549927,-0.157952665853709
Aruba,ABW,Surface area (sq. km),AG.SRF.TOTL.K2,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,..,..
Aruba,ABW,Population density (people per sq. km of land area),EN.POP.DNST,495.005555555556,503.838888888889,509.894444444444,515.005555555556,519.666666666667,524.905555555556,531.144444444444,537.705555555556,544.422222222222,551.177777777778,557.45,562.711111111111,567.288888888889,571.555555555556,575.522222222222,579.205555555556,582.633333333333,585.772222222222,588.677777777778,591.344444444444,592.138888888889,591.872222222222,..,..
Aruba,ABW,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,1817197910.91781,1859916219.70373,1770097153.54831,1957789027.13985,2245797232.79212,1925280491.6063,2377953053.37092,2263489180.21641,2702680605.85031,2473150591.76975,2347430362.15644,2369823432.97813,2495561937.38643,2623720622.09359,2643760295.99961,2639315168.02316,2747821767.15291,2947640697.68666,3063569555.86415,3134965130.34945,2487355564.27834,3215227617.06748,3556200129.52052,..
Aruba,ABW,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,20390,20510,19290,21120,24010,20380,24870,23390,27580,24930,23390,23400,24440,25500,25520,25320,26200,27960,28910,29450,23340,30180,33410,..
Aruba,ABW,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2701674799.68046,2830644520.83375,2733006561.59101,2948370456.57127,3225525867.9079,2731404792.87781,3419287359.85238,3239184627.29661,3765110155.12676,3367822203.98781,3238654364.53009,3285948781.36833,3392124836.40284,3565352798.44846,3668236882.17076,3718236361.46908,3748965003.99227,3855139712.91164,3998225782.92506,4078019692.56843,3157719618.33679,3949220211.10119,4648391243.13954,..
Aruba,ABW,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,30320,31210,29780,31810,34480,28910,35760,33470,38420,33950,32280,32440,33220,34660,35410,35660,35750,36560,37730,38310,29630,37070,43670,..
Aruba,ABW,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.569,73.647,73.726,73.752,73.576,73.811,74.026,74.21,74.147,74.56,75.404,75.465,75.531,75.636,75.601,75.683,75.617,75.903,76.072,76.248,75.723,74.626,74.992,..
Aruba,ABW,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.904,1.833,1.763,1.747,1.683,1.777,1.909,1.928,1.935,1.919,1.941,1.962,2.028,2.117,2.148,1.972,1.953,1.839,1.587,1.486,1.325,1.18,1.179,..
Aruba,ABW,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,44.859,40.543,36.813,35.882,35,38.691,41.694,41.108,39.81,39.777,39.323,38.895,37.903,37.026,35.15,28.989,27.419,24.888,20.086,18.906,16.522,14.154,13.697,..
Aruba,ABW,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,..,96,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,87.6526489257812,94.7483596801758,98.3309097290039,91.7639007568359,94.4972763061523,93.6026916503906,96.1588516235352,102.187286376953,97.9946517944336,102.097900390625,95.5525588989258,..,..,97.9137725830078,106.117988586426,..,..,..,98.0972518920898,108.233528137207,103.185188293457,100.936767578125,95.0197601318359,..
